id,name,artists,duration_ms,release_date,year,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,popularity,explicit,cluster
2uw8vslyCoFLQsoPcIhen5,Killer (feat. Drake),"['Nipsey Hussle', 'Drake']",199147,10/2/13,2013,0.0427,0.595,0.706,0.0,0.0845,-7.47,0.287,75.682,0.38,0,3,58,1,1
1JHOq4bNJkLxaB9WniP7Xc,Pleading,['Pete Drake'],124909,1962,1962,0.837,0.301,0.39,0.845,0.124,-11.778,0.029,79.605,0.72,1,3,15,0,2
4ZYVAWHjnGFEuGGNrlHk4Y,Bryter Layter,['Nick Drake'],200667,3/6/70,1970,0.815,0.656,0.164,0.832,0.109,-20.924,0.0425,121.507,0.609,0,5,44,0,2
433P7tDcIAi6NLnf4Sh6tI,Still Here,['Drake'],189853,5/6/16,2016,0.0267,0.833,0.431,0.0,0.633,-9.604,0.194,133.938,0.224,1,0,63,1,1
3aJkV6DUTSCqOwVwaBDG9B,With You,"['Drake', 'PARTYNEXTDOOR']",195053,5/6/16,2016,0.136,0.878,0.406,0.000231,0.112,-9.961,0.249,128.015,0.785,1,1,62,1,1
3CA9pLiwRIGtUBiMjbZmRw,Nice For What,['Drake'],210747,6/29/18,2018,0.0891,0.586,0.909,0.000109,0.119,-6.474,0.0705,93.394,0.757,1,8,80,1,1
3V8sM5OOG6YfDuDLa2IIYJ,Used to This (feat. Drake),"['Future', 'Drake']",180520,11/4/16,2016,0.0312,0.618,0.727,0.0,0.196,-7.224,0.208,164.992,0.401,0,3,59,1,1
4eSGSqP2TZvvX0kadZZttM,Doing It Wrong,['Drake'],265120,11/15/11,2011,0.841,0.397,0.172,6.78e-05,0.108,-15.698,0.0445,101.275,0.123,0,6,69,1,0
7JXZq0JgG2zTrSOAgY8VMC,Jungle,['Drake'],320400,2/12/15,2015,0.62,0.697,0.235,0.000144,0.107,-8.651,0.0534,99.947,0.378,1,7,70,1,2
79XrkTOfV1AqySNjVlygpW,Energy,['Drake'],181933,2/12/15,2015,0.38,0.747,0.571,0.0,0.534,-7.916,0.478,172.104,0.553,1,11,71,1,1
5wUUWVRvrciJqFitZF8R0P,Recognize (feat. Drake),"['PARTYNEXTDOOR', 'Drake']",311197,7/29/14,2014,0.0102,0.643,0.541,0.0,0.102,-5.801,0.0426,119.499,0.165,1,2,66,1,1
4zLOwx1yRJXWkHKt1XzF1p,Now & Forever,['Drake'],281320,2/12/15,2015,0.124,0.555,0.481,0.0,0.101,-7.419,0.0322,107.793,0.098,1,6,58,1,1
2TWSilrWcTrgVKcP8kfEfg,Unstoppable (feat. Santigold & Lil Wayne),"['Drake', 'Santigold', 'Lil Wayne']",209957,2009,2009,0.165,0.774,0.912,0.0,0.745,-2.787,0.347,150.083,0.821,0,2,48,1,1
3rwXHX4RzXjfBSXtkBgweE,The Spook,['Pete Drake'],140814,1962,1962,0.184,0.462,0.574,0.969,0.155,-10.065,0.027,145.159,0.852,0,4,29,0,1
72TFWvU3wUYdUuxejTTIzt,Work,"['Rihanna', 'Drake']",219320,1/28/16,2016,0.0752,0.725,0.534,0.0,0.0919,-6.238,0.0946,91.974,0.558,1,11,76,1,1
3vSsJRF0UIlR7DAT6aS9nW,The Surrey With The Fringe On Top,['Alfred Drake'],187013,12/2/43,1943,0.918,0.571,0.155,0.0,0.126,-12.843,0.0871,80.847,0.377,1,9,8,0,0
1rS3J4u1G8f6hbmTosa8Nf,I Found A Way,['Drake Bell'],179493,3/8/05,2005,0.0056,0.531,0.766,0.0,0.201,-7.692,0.0582,130.048,0.532,1,8,55,0,1
1sebye5Zy0Qn1Vk82QD0LG,"Kiss Me, Kate: Finale: Kiss Me, Kate","['Cole Porter', 'Alfred Drake', 'Patricia Morison', 'Kiss Me, Kate Ensemble', 'Pembroke Davenport', 'Original Broadway Cast Orchestra']",46933,1949,1949,0.859,0.41,0.467,0.0,0.276,-7.931,0.0909,149.645,0.897,1,10,5,0,2
18PSaTJMLkFNWnW0NWdOAW,Find Your Love,['Drake'],208947,1/1/10,2010,0.0209,0.625,0.613,0.0,0.0286,-6.005,0.173,96.033,0.738,0,6,56,0,1
6WXEz0HcIo4ybLCrmS5BO8,The Surrey With The Fringe On Top - Alternate Take,['Alfred Drake'],189880,12/2/43,1943,0.94,0.472,0.15,0.0,0.13,-14.665,0.0928,159.283,0.438,1,4,3,0,2
3GYcEm6ZGkn42RdMQemEo1,Way To Blue,['Nick Drake'],188493,7/3/69,1969,0.263,0.188,0.208,0.142,0.0996,-15.288,0.0372,139.113,0.107,1,4,40,0,0
2pnM7cTxaaCr7vARCXIN1N,"Kiss Me, Kate: Where is the Life That Late I Led?","['Cole Porter', 'Alfred Drake', 'Pembroke Davenport', 'Original Broadway Cast Orchestra']",259827,1949,1949,0.93,0.496,0.315,0.0,0.43,-13.221,0.119,139.103,0.685,1,5,7,0,2
7t1lBIr3WIEtqQEOdZFMUf,Look What You've Done,['Drake'],301960,11/15/11,2011,0.485,0.495,0.351,0.0,0.0967,-14.669,0.34,134.369,0.271,0,3,58,1,2
4XTXamS1g4g93jPxyuFJJ6,Brand New,['Drake'],213492,2009,2009,0.631,0.399,0.491,0.0,0.171,-8.992,0.0714,94.542,0.356,1,6,57,1,2
1ZyudLFv35SRvY5SvTZqJx,Buried Alive Interlude,"['Drake', 'Kendrick Lamar']",150960,11/15/11,2011,0.412,0.711,0.543,0.0,0.505,-12.692,0.112,102.01,0.801,1,0,55,1,2
0XGLsSU6wtfnKXiMNvQr61,Versace (Remix),"['Migos', 'Drake']",246047,1/6/15,2015,0.0218,0.845,0.705,0.0,0.339,-4.271,0.243,132.05,0.334,0,6,60,1,1
2Gnsof1hvZzjE1xdLRpjtf,Over My Dead Body,['Drake'],272573,11/15/11,2011,0.759,0.489,0.57,2.1e-06,0.179,-10.291,0.306,185.516,0.584,1,1,60,1,2
6HSqyfGnsHYw9MmIpa9zlZ,Forever,"['Drake', 'Kanye West', 'Lil Wayne', 'Eminem']",357347,1/1/09,2009,0.253,0.415,0.926,0.0,0.256,-1.304,0.374,158.423,0.542,0,5,66,1,1
